Common Name,Latin Name,DBH,Latitude,Longitude,Primary ID
Pin Oak,Quercus palustris,54,38.034941772,-84.50453232,10601
Norway Spruce,Picea abies,24,38.034863335,-84.50437353,10309
Red Oak,Quercus rubra,45,38.037662314,-84.50401702,10286
Red Oak,Quercus rubra,33,38.037754444,-84.50410554,10285
White Pine,Pinus strobus,22,38.036602515,-84.50436906,10214
White Pine,Pinus strobus,24,38.036467774,-84.50454799,10212
Cherrybark Oak,Quercus pagoda,37,38.031988137,-84.50271832,10180
English Oak,Quercus robur,17,38.034086153,-84.50294033,10069
Maidenhair Tree,Ginkgo biloba,25,38.035854751,-84.50503672,9985
American Linden,Tilia americana,24,38.040788296,-84.50436886,9967
Maidenhair Tree,Ginkgo biloba,26,38.035794887,-84.50726683,9944
Red Oak,Quercus rubra,44,38.040306664,-84.50489541,9943
Pin Oak,Quercus palustris,43,38.040646285,-84.50446371,9929
Stump,Stump,38,38.035982219,-84.50260923,9922
Red Oak,Quercus rubra,36,38.039053109,-84.5043957,9908
Red Oak,Quercus rubra,27,38.038520865,-84.50142382,9904
American Linden,Tilia americana,26,38.036015561,-84.50255868,9876
Yellow Buckeye,Aesculus flava,36,38.038747127,-84.5066074,9812
Tulip Tree,Liriodendron tulipifera,23,38.036016010,-84.5033622,9794
Red Oak,Quercus rubra,33,38.037822297,-84.50422093,9781
Western Catalpa,Catalpa speciosa,64,38.038698758,-84.50533521,9773
Eastern Redbud,Cercis canadensis,22,38.037436218,-84.50247623,9672
Swamp White Oak,Quercus bicolor,17,38.033616710,-84.50221644,9670
Pin Oak,Quercus palustris,21,38.032840239,-84.5030373,9647
Scarlet Oak,Quercus coccinea,25,38.038739858,-84.50526027,9594
Saucer Magnolia,Magnolia x soulangeana,23,38.036614213,-84.50272934,8624
Tulip Tree,Liriodendron tulipifera,19,38.036660400,-84.50268915,8470
Red Oak,Quercus rubra,35,38.040644643,-84.5042959,7846
Red Oak,Quercus rubra,38,38.037026849,-84.50729403,7656
Pin Oak,Quercus palustris,36,38.038542940,-84.50560225,7617
Red Oak,Quercus rubra,31,38.037260612,-84.50608181,7520
Sawleaf Zelkova,Zelkova serrata,25,38.038989880,-84.50713314,7500
Sawleaf Zelkova,Zelkova serrata,25,38.039009950,-84.50722568,7499
Sawleaf Zelkova,Zelkova serrata,37,38.039032130,-84.50731687,7498
American Sweet Gum,Liquidambar styraciflua,33,38.035400727,-84.50139422,7440
